1257, 225, 40.00, 4.78, 31.01, 0.20, 46.80
1258, 318, 38.40, 12.19, 56.98, 0.30, 46.60
1259, 326, 40.20, 12.58, 57.14, 0.28, 47.10
1260, 335, 38.90, 12.87, 57.00, 0.24, 48.60
1261, 338, 39.80, 13.02, 56.99, 0.31, 48.30
1262, 340, 39.40, 13.14, 57.06, 0.31, 49.10
1263, 341, 39.80, 13.26, 56.94, 0.30, 49.40
1264, 348, 38.50, 13.47, 56.89, 0.24, 50.00
1265, 347, 38.00, 13.45, 56.78, 0.27, 50.40
1266, 343, 39.80, 13.52, 57.03, 0.25, 51.30
1267, 343, 38.10, 13.58, 57.17, 0.28, 52.10
1268, 342, 38.60, 13.47, 56.91, 0.32, 52.90
1269, 343, 39.10, 13.68, 57.18, 0.29, 53.40
1271, 346, 39.60, 13.73, 57.08, 0.30, 53.20
1272, 349, 38.70, 13.88, 57.16, 0.30, 53.40
1303, 9, 40.10, 2.44, 35.65, 0.08, 49.80
1304, 214, 38.90, 2.83, 22.09, 0.15, 49.90
1305, 329, 40.00, 12.79, 57.04, 0.29, 50.50
1306, 335, 38.20, 12.97, 57.01, 0.31, 51.00
1307, 334, 38.90, 13.07, 57.02, 0.29, 51.30
2642, 17, 40.10, 0.34, 4.76, 0.08, 35.80
2643, 253, 39.50, 5.60, 35.72, 0.21, 34.50
2644, 258, 39.00, 9.89, 57.11, 0.17, 35.20
2645, 280, 39.30, 10.53, 56.94, 0.18, 36.60
2646, 299, 39.40, 11.14, 56.93, 0.19, 37.20
2647, 312, 39.70, 11.72, 57.09, 0.24, 38.00
2648, 317, 39.20, 12.01, 57.09, 0.27, 38.40
2649, 327, 38.30, 12.16, 56.96, 0.27, 38.80
2650, 329, 39.20, 12.45, 57.02, 0.29, 39.40
2697, 224, 40.20, 3.06, 23.59, 0.16, 38.20
2698, 280, 39.20, 10.59, 56.98, 0.26, 38.20
2699, 300, 38.70, 11.18, 56.95, 0.28, 37.80
2700, 314, 38.80, 11.68, 56.82, 0.28, 38.80
2701, 324, 38.60, 12.15, 56.89, 0.24, 39.60
2702, 332, 38.70, 12.49, 56.98, 0.29, 40.80
2703, 337, 38.50, 12.69, 57.09, 0.28, 41.80
2704, 340, 39.10, 12.86, 57.08, 0.22, 42.70
2705, 338, 39.10, 12.83, 56.91, 0.31, 41.90
2707, 344, 38.90, 13.10, 56.99, 0.23, 42.30
2708, 342, 39.20, 13.19, 57.18, 0.26, 43.30
2709, 347, 38.40, 13.26, 57.02, 0.33, 43.20
2710, 351, 38.90, 13.50, 57.00, 0.31, 43.80
2711, 348, 39.20, 13.40, 56.83, 0.25, 44.40
2712, 344, 38.10, 13.43, 57.15, 0.31, 45.90
2713, 348, 38.20, 13.55, 56.98, 0.26, 45.80
2714, 350, 38.40, 13.50, 56.84, 0.30, 46.70
2715, 347, 39.20, 13.59, 57.14, 0.31, 46.60
2716, 350, 38.80, 13.62, 56.82, 0.25, 47.10
2717, 341, 39.50, 13.50, 56.96, 0.31, 47.50
2718, 347, 38.90, 13.61, 56.80, 0.25, 47.30
2719, 345, 39.30, 13.59, 56.90, 0.32, 48.80
2720, 348, 39.70, 13.82, 57.01, 0.27, 49.10
2721, 345, 39.10, 13.71, 57.02, 0.31, 49.00
2722, 341, 39.40, 13.66, 57.00, 0.30, 49.20
2723, 347, 39.30, 13.89, 56.95, 0.26, 49.90
2724, 346, 39.10, 13.92, 57.10, 0.29, 50.30
2725, 343, 38.50, 13.81, 56.96, 0.26, 49.50
2727, 348, 38.20, 13.92, 57.09, 0.34, 49.40
2729, 202, 38.90, 2.71, 21.37, 0.16, 49.30
2730, 317, 39.10, 13.25, 57.16, 0.29, 48.70
2731, 344, 39.00, 13.81, 57.14, 0.30, 49.70
2732, 346, 38.40, 13.85, 56.98, 0.31, 51.20
2733, 351, 38.50, 14.01, 56.83, 0.26, 50.20
2734, 346, 38.70, 13.90, 56.81, 0.29, 51.10
2735, 346, 38.80, 14.01, 57.00, 0.29, 50.90
2736, 345, 39.30, 14.00, 57.15, 0.30, 51.30
2737, 349, 39.00, 14.13, 57.13, 0.32, 52.60
2738, 348, 37.80, 14.09, 57.07, 0.34, 52.20
2739, 345, 38.90, 14.01, 56.81, 0.26, 51.80
2740, 341, 38.10, 13.99, 57.09, 0.30, 52.50
2741, 341, 39.20, 14.06, 57.05, 0.28, 53.70
